"variance","skewness","curtosis","entropy","class"
1.4578,-0.08485,4.1785,0.59136,"genuine"
2.8672,10.0008,-3.2049,-3.1095,"genuine"
-3.1158,-8.6289,10.4403,0.97153,"forgery"
-3.0986,-10.4602,8.9717,-2.3427,"forgery"
0.75896,0.29176,-1.6506,0.83834,"forgery"
-4.3967,4.9601,-0.64892,-5.4719,"forgery"
1.2706,8.035,-0.19651,-2.1888,"genuine"
-1.3274,9.498,2.4408,-5.2689,"genuine"
1.5701,7.9129,0.29018,-2.1953,"genuine"
4.0962,10.1891,-3.9323,-4.1827,"genuine"
2.0922,-6.81,8.4636,-0.60216,"genuine"
-1.5768,10.843,2.5462,-2.9362,"genuine"
-1.6706,-2.09,1.584,0.71162,"forgery"
5.2756,0.13863,0.12138,1.1435,"genuine"
4.4549,2.4976,1.0313,0.96894,"genuine"
-2.7914,1.7734,6.7756,-0.39915,"genuine"
-2.0754,1.2767,-0.64206,-1.2642,"forgery"
2.4673,1.3926,1.7125,0.41421,"genuine"
2.3136,10.6651,-3.5288,-4.7672,"genuine"
-3.4917,-12.1736,14.3689,-0.61639,"forgery"
4.7285,2.1065,-0.28305,1.5625,"genuine"
5.591,10.4643,-4.3839,-4.3379,"genuine"
4.0446,11.1741,-4.3582,-4.7401,"genuine"
2.9856,7.2673,-0.409,-2.2431,"genuine"
-0.539,-5.167,3.4399,0.052141,"forgery"
-1.6936,2.7852,-2.1835,-1.9276,"forgery"
-1.8629,-0.84841,2.5377,0.097399,"forgery"
-3,-9.1566,9.5766,-0.73018,"forgery"
-4.3773,-5.5167,10.939,-0.4082,"forgery"
-1.2528,10.2036,2.1787,-5.6038,"genuine"
3.2414,0.40971,1.4015,1.1952,"genuine"
0.062525,2.9301,-3.5467,-2.6737,"forgery"
-4.0214,-12.8006,15.6199,-0.95647,"forgery"
3.8027,0.81529,2.1041,1.0245,"genuine"
0.01727,8.693,1.3989,-3.9668,"genuine"
2.2034,5.9947,0.53009,0.84998,"genuine"
-0.025314,-0.17383,-0.11339,1.2198,"forgery"
-0.3489,3.1929,-3.4054,-3.1832,"forgery"
1.645,7.8612,-0.87598,-3.5569,"genuine"
4.3483,11.1079,-4.0857,-4.2539,"genuine"
1.7875,4.78,-5.1362,-3.2362,"forgery"
-2.5526,-7.3625,6.9255,-0.66811,"forgery"
-0.048008,-0.56078,7.7215,0.453,"genuine"
1.1472,3.5985,1.9387,-0.43406,"genuine"
4.0422,-4.391,4.7466,1.137,"genuine"
0.52855,0.96427,4.0243,-1.0483,"genuine"
-0.55648,3.2136,-3.3085,-2.7965,"forgery"
-2.4554,-9.0407,8.862,-0.86983,"forgery"
2.2893,3.733,0.6312,-0.39786,"genuine"
-0.0012852,0.13863,-0.19651,0.0081754,"forgery"
-3.3884,-8.215,10.3315,0.98187,"forgery"
0.0031201,-4.0061,1.7956,0.91722,"forgery"
4.2756,-2.6528,2.1375,0.94437,"genuine"
0.50225,0.65388,-1.1793,0.39998,"forgery"
-0.11716,0.60422,-0.38587,-0.059065,"forgery"
-1.8219,-6.8824,5.4681,0.057313,"forgery"
-2.3361,11.9604,3.0835,-5.4435,"genuine"
-2.9662,-10.3257,8.784,-2.1138,"forgery"
4.9294,0.27727,0.20792,0.33662,"genuine"
5.0691,0.21313,0.20278,1.2095,"genuine"
6.5633,9.8187,-4.4113,-3.2258,"genuine"
3.0333,-2.5928,2.3183,0.303,"genuine"
-5.3857,9.1214,-0.41929,-5.9181,"forgery"
-0.66008,-3.226,3.8058,1.1836,"forgery"
0.39012,-0.14279,-0.031994,0.35084,"forgery"
5.6084,10.3009,-4.8003,-4.3534,"genuine"
-0.28015,3.0729,-3.3857,-2.9155,"forgery"
-0.77848,3.4019,-3.4859,-3.5569,"forgery"
-1.3612,10.694,1.7022,-2.9026,"genuine"
-2.0529,3.8385,-0.79544,-1.2138,"forgery"
0.19081,9.1297,-3.725,-5.8224,"genuine"
0.5195,-3.2633,3.0895,-0.9849,"genuine"
-2.4561,-4.5566,6.4534,-0.056479,"forgery"
-2.2501,3.3129,-0.88369,-2.8974,"forgery"
0.27451,9.2186,-3.2863,-4.8448,"genuine"
-1.9555,0.20692,1.2473,-0.3707,"forgery"
-0.023579,7.1742,0.78457,-0.75734,"genuine"
-1.3946,2.3134,-0.44499,-1.4905,"forgery"
0.6005,0.99945,-2.2126,0.097399,"forgery"
-1.0112,2.9984,-1.1664,-1.6185,"forgery"
-1.4781,0.14277,-1.1622,-0.48579,"forgery"
1.594,4.7055,1.3758,0.081882,"genuine"
-3.3793,-13.7731,17.9274,-2.0323,"forgery"
3.0632,-3.3315,5.1305,0.8267,"genuine"
-1.9116,-6.1603,5.606,0.48533,"forgery"
-1.3995,-1.9162,2.5154,0.59912,"forgery"
-3.7181,-8.5089,12.363,-0.95518,"forgery"
3.7798,-3.3109,2.6491,0.066365,"genuine"
1.162,10.2926,-1.2821,-4.0392,"genuine"
3.7831,10.0526,-3.8869,-3.7366,"genuine"
-2.4953,11.1472,1.9353,-3.4638,"genuine"
3.8417,10.0215,-4.2699,-4.9159,"genuine"
-1.7781,0.8546,7.1303,0.027572,"genuine"
1.2309,3.8923,-4.8277,-4.0069,"forgery"
2.1059,7.6046,-0.47755,-1.8461,"genuine"
-2.8267,-9.0407,9.0694,-0.98233,"forgery"
-2.4941,3.5447,-1.3721,-2.8483,"forgery"
4.5597,-2.4211,2.6413,1.6168,"genuine"
4.2458,1.1981,0.66633,0.94696,"genuine"
-2.6989,12.1984,0.67661,-8.5482,"genuine"
-2.4349,-9.2497,8.9922,-0.50001,"forgery"
2.0153,0.43661,4.5864,-0.3151,"genuine"
1.9818,9.2621,-3.521,-1.872,"genuine"
1.105,7.4432,0.41099,-3.0332,"genuine"
-4.0786,2.9239,0.87026,-0.65389,"forgery"
0.5415,6.0319,1.6825,-0.46122,"genuine"
3.2585,-4.4614,3.8024,-0.15087,"genuine"
0.38251,6.8121,1.8128,-0.61251,"genuine"
3.4591,11.112,-4.2039,-5.0931,"genuine"
0.87256,9.2931,-0.7843,-2.1978,"genuine"
3.4312,6.2637,-1.9513,-0.36165,"genuine"
-1.9409,-8.6848,9.155,0.94049,"forgery"
-1.0401,9.3987,0.85998,-5.3336,"genuine"
4.5691,-4.4552,3.1769,0.0042961,"genuine"
-7.0364,9.2931,0.16594,-4.5396,"forgery"
-4.3667,6.0692,0.57208,-5.4668,"forgery"
-1.7582,2.7397,-2.5323,-2.234,"forgery"
-1.7589,-6.4624,8.4773,0.31981,"forgery"
-2.2214,-0.23798,0.56008,0.05602,"forgery"
-3.5713,-12.4922,14.8881,-0.47027,"forgery"
-1.2568,-1.4733,2.8718,0.44653,"forgery"
1.9265,7.7557,-0.16823,-3.0771,"genuine"
-0.69745,-1.7672,-0.34474,-0.12372,"forgery"
-1.1804,11.5093,0.15565,-6.8194,"genuine"
3.2294,7.7391,-0.37816,-2.5405,"genuine"
0.64215,3.1287,4.2933,0.64696,"genuine"
-1.3887,-4.8773,6.4774,0.34179,"forgery"
-2.6685,-10.4519,9.1139,-1.7323,"forgery"
1.2616,4.4303,-1.3335,-1.7517,"genuine"
0.86202,2.6963,4.2908,0.54739,"genuine"
-1.1306,1.8458,-1.3575,-1.3806,"forgery"
1.8314,6.3672,-0.036278,0.049554,"genuine"
3.5862,-3.0957,2.8093,0.24481,"genuine"
-6.1536,7.9295,0.61663,-3.2646,"forgery"
2.6718,5.6574,0.72974,-1.4892,"genuine"
3.2351,9.647,-3.2074,-2.5948,"genuine"
4.8278,7.7598,-2.4491,-1.2216,"genuine"
2.2526,9.9636,-3.1749,-2.9944,"genuine"
3.9663,10.1684,-4.1131,-4.6056,"genuine"
-2.3629,-0.10554,1.9336,1.1358,"forgery"
-0.16735,7.6274,1.2061,-3.6241,"genuine"
-3.793,-12.7095,12.7957,-2.825,"forgery"
-2.7143,11.4535,2.1092,-3.9629,"genuine"
2.4287,9.3821,-3.2477,-1.4543,"genuine"
-2.41,3.7433,-0.40215,-1.2953,"forgery"
4.0632,3.584,0.72545,0.39481,"genuine"
-0.21661,8.0329,1.8848,-3.8853,"genuine"
-2.5919,-1.0553,3.8949,0.77757,"forgery"
-4.6338,-12.7509,16.7166,-3.2168,"forgery"
4.2164,9.4607,-4.9288,-5.2366,"genuine"
0.045304,6.7334,1.0708,-0.9332,"genuine"
3.6077,6.8576,-1.1622,0.28231,"genuine"
-6.5773,6.8017,0.85483,-7.5344,"forgery"
2.5559,3.3605,2.0321,0.26809,"genuine"
4.0552,0.40143,1.4563,0.65343,"genuine"
0.26877,4.987,-5.1508,-6.3913,"forgery"
4.0715,7.6398,-2.0824,-1.1698,"genuine"
-1.6162,0.80908,8.1628,0.60817,"genuine"
-4.1244,3.7909,-0.6532,-4.1802,"forgery"
4.223,1.1319,0.72202,0.96118,"genuine"
1.7747,-6.4334,8.15,-0.89828,"genuine"
0.83625,1.1071,-2.4706,-0.062945,"forgery"
1.1317,3.9647,3.3979,0.84351,"genuine"
4.6464,10.5326,-4.5852,-4.206,"genuine"
4.8265,0.80287,1.6371,1.1875,"genuine"
-0.29858,2.4769,-2.9512,-0.66165,"forgery"
-3.5741,3.944,-0.07912,-2.1203,"forgery"
3.6941,-3.9482,4.2625,1.1577,"genuine"
3.744,0.79459,0.95851,1.0077,"genuine"
-1.4217,11.6542,-0.057699,-7.1025,"genuine"
-0.94255,0.039307,-0.24192,0.31593,"forgery"
0.5706,-0.024841,1.2421,-0.56208,"genuine"
0.60731,3.9544,-4.772,-4.4853,"forgery"
-3.3604,-0.32696,2.1324,0.6017,"forgery"
-0.59587,2.4811,-2.8673,-0.89828,"forgery"
3.4776,8.811,-3.1886,-0.92285,"genuine"
3.2422,6.2265,0.12224,-1.4466,"genuine"
-3.7244,1.9037,-0.035421,-2.5095,"forgery"
-1.7015,-0.010356,-0.99337,-0.53104,"forgery"
-3.2778,1.8023,0.1805,-2.3931,"forgery"
3.757,-5.4236,3.8255,-1.2526,"genuine"
3.7352,9.5911,-3.9032,-3.3487,"genuine"
-1.7549,-0.080711,-0.75774,-0.3707,"forgery"
0.17346,7.8695,0.26876,-3.7883,"genuine"
-3.2305,-7.2135,11.6433,-0.94613,"forgery"
-1.2943,2.6735,-0.84085,-2.0323,"forgery"
2.9736,8.7944,-3.6359,-1.3754,"genuine"
-0.24745,1.9368,-2.4697,-0.80518,"forgery"
-1.6386,3.3584,-1.7302,-3.5646,"forgery"
-4.4779,7.3708,-0.31218,-6.7754,"forgery"
-1.4454,-8.4385,8.8483,0.96894,"forgery"
1.3518,1.0595,-2.3437,0.39998,"forgery"
3.5152,6.8224,-0.67377,-0.46898,"genuine"
-1.0292,-6.3879,5.5255,0.79955,"forgery"
-0.90784,-7.9026,6.7807,0.34179,"forgery"
3.4667,-4.0724,4.2882,1.5418,"genuine"
2.7659,0.66216,4.1494,-0.28406,"genuine"
-1.979,3.2301,-1.3575,-2.5819,"forgery"
-5.4901,9.1048,-0.38758,-5.9763,"forgery"
4.6352,-3.0087,2.6773,1.212,"genuine"
-0.70867,-5.5602,4.0483,0.903,"forgery"
3.3756,-4.0951,4.367,1.0698,"genuine"
-1.9423,0.3766,-1.2898,-0.82458,"forgery"
-1.7322,-9.2828,7.719,-1.7168,"forgery"
2.6946,6.7976,-0.40301,0.44912,"genuine"
-3.8203,-13.0551,16.9583,-2.3052,"forgery"
2.9421,7.4101,-0.97709,-0.88406,"genuine"
-2.2677,3.2964,-2.2563,-2.4642,"forgery"
-6.1632,8.7096,-0.21621,-3.6345,"forgery"
2.4527,2.9653,0.20021,-0.056479,"genuine"
1.8114,7.6067,-0.9788,-2.4668,"genuine"
0.33565,6.8369,0.69718,-0.55691,"genuine"
-4.0218,-8.304,12.555,-1.5099,"forgery"
-0.63298,-5.1277,4.5624,1.4797,"forgery"
-3.8952,3.8157,-0.31304,-3.8194,"forgery"
-3.5916,-6.2285,10.2389,-1.1543,"forgery"
-2.3221,-9.3304,9.233,-0.79871,"forgery"
3.1219,-3.137,1.9259,-0.37458,"genuine"
2.1948,1.3781,1.1582,0.85774,"genuine"
-2.4198,-0.24418,0.70146,0.41809,"forgery"
-1.8391,-9.0883,9.2416,-0.10432,"forgery"
2.4008,9.3593,-3.3565,-3.3526,"genuine"
0.40614,1.3492,-1.4501,-0.55949,"forgery"
-1.7279,-6.841,8.9494,0.68058,"forgery"
-4.1958,-8.1819,12.1291,-1.6017,"forgery"
5.7353,5.2808,-2.2598,0.075416,"genuine"
2.1752,-0.8091,5.1022,-0.67975,"genuine"
3.8905,-2.1521,2.6302,1.1047,"genuine"
0.96574,8.393,-1.361,-1.4659,"genuine"
0.0071249,8.3661,0.50781,-3.8155,"genuine"
-1.9551,-6.9756,5.5383,-0.12889,"forgery"
4.1665,-0.4449,0.23448,0.27843,"genuine"
2.1721,-0.73874,5.4672,-0.72371,"genuine"
-0.21394,-0.68287,0.096532,1.1965,"forgery"
-0.2361,9.3221,2.1307,-4.3793,"genuine"
2.994,7.2011,-1.2153,0.3211,"genuine"
1.9572,-5.1153,8.6127,-1.4297,"genuine"
-1.9389,1.5706,0.045979,-1.122,"forgery"
2.8523,9.0096,-3.761,-3.3371,"genuine"
-2.3142,2.0838,-0.46813,-1.6767,"forgery"
1.9429,6.3961,0.092248,0.58102,"genuine"
5.086,3.2798,-1.2701,1.1189,"genuine"
1.9647,6.9383,0.57722,0.66377,"genuine"
1.8967,-2.5163,2.8093,-0.79742,"genuine"
-4.211,-12.4736,14.9704,-1.3884,"forgery"
1.164,3.913,-4.5544,-3.8672,"forgery"
5.0617,-0.35799,0.44698,0.99868,"genuine"
0.53936,3.8944,-4.8166,-4.3418,"forgery"
-1.9177,11.6894,2.5454,-3.2763,"genuine"
-1.2786,-2.4087,4.5735,0.47627,"forgery"
-0.51003,-0.23591,0.020273,0.76334,"forgery"
-1.5877,-6.6072,5.8022,0.31593,"forgery"
-0.41965,2.9094,-1.7859,-2.2069,"forgery"
2.6648,10.754,-3.3994,-4.1685,"genuine"
4.6689,1.3098,0.055404,1.909,"genuine"
-0.83121,0.039307,0.05369,-0.23105,"forgery"
2.5581,2.6218,1.8513,0.40257,"genuine"
0.65497,5.1815,1.0673,-0.42113,"genuine"
0.30081,0.17381,-1.7542,0.48921,"forgery"
2.2517,-5.1422,4.2916,-1.2487,"genuine"
-1.5851,-2.1562,1.7082,0.9017,"forgery"
-2.4621,2.7645,-0.62578,-2.8573,"forgery"
3.8846,-3.0336,2.5334,0.20214,"genuine"
1.0135,8.4551,-1.672,-2.0815,"genuine"
5.1731,3.9606,-1.983,0.40774,"genuine"
0.11032,1.9741,-3.3668,-0.65259,"forgery"
3.6702,2.9942,0.85141,0.30688,"genuine"
1.7819,6.9176,-1.2744,-1.5759,"genuine"
-0.278,8.1881,-3.1338,-2.5276,"genuine"
4.052,-0.16555,0.45383,0.51248,"genuine"
5.3063,5.2684,-2.8904,-0.52716,"genuine"
2.6881,6.0195,-0.46641,-0.69268,"genuine"
2.5678,3.5136,0.61406,-0.40691,"genuine"
-3.1366,0.42212,2.6225,-0.064238,"forgery"
3.4893,6.69,-1.2042,-0.38751,"genuine"
-4.244,-13.0634,17.1116,-2.8017,"forgery"
2.0051,-6.8638,8.132,-0.2401,"genuine"
-1.366,0.18416,0.90539,1.5806,"forgery"
-0.071503,3.7412,-4.5415,-4.2526,"forgery"
0.48797,3.5674,-4.3882,-3.8116,"forgery"
4.2475,1.4816,-0.48355,0.95343,"genuine"
0.37637,-0.82358,0.78543,0.74524,"forgery"
-3.2238,2.7935,0.32274,-0.86078,"forgery"
-1.4233,-0.98912,2.3586,0.39481,"forgery"
-4.8426,-4.9932,10.4052,-0.53104,"forgery"
0.49665,5.527,1.7785,-0.47156,"genuine"
-2.2173,1.4671,-0.72689,-1.1724,"forgery"
-2.3675,-0.43663,1.692,-0.43018,"forgery"
-2.0046,-0.49457,1.333,1.6543,"forgery"
4.2134,-2.806,2.0116,0.67412,"genuine"
0.3434,0.12415,-0.28733,0.14654,"forgery"
1.3562,3.2136,4.3465,0.78662,"genuine"
0.11686,3.735,-4.4379,-4.3741,"forgery"
0.39559,6.8866,1.0588,-0.67587,"genuine"
-4.1429,2.7749,0.68261,-0.71984,"forgery"
1.5799,-4.7076,7.9186,-1.5487,"genuine"
2.9163,10.8306,-3.3437,-4.122,"genuine"
3.4465,2.9508,1.0271,0.5461,"genuine"
-1.1497,1.2954,7.701,0.62627,"genuine"
-4.1409,3.4619,-0.47841,-3.8879,"forgery"
3.0009,5.8126,-2.2306,-0.66553,"genuine"
-2.588,3.8654,-0.3336,-1.2797,"forgery"
2.031,1.852,-3.0121,0.003003,"forgery"
1.6472,0.48213,4.7449,1.225,"genuine"
-0.45062,-1.3678,7.0858,-0.40303,"genuine"
2.3952,9.5083,-3.1783,-3.0086,"genuine"
0.56232,1.0015,-2.2726,-0.0060486,"forgery"
4.2027,0.22761,0.96108,0.97282,"genuine"
0.32444,10.067,-1.1982,-4.1284,"genuine"
3.9232,-3.2467,3.4579,0.83705,"genuine"
4.5707,7.2094,-3.2794,-1.4944,"genuine"
-1.4572,9.1214,1.7425,-5.1241,"genuine"
-1.6677,-7.1535,7.8929,0.96765,"forgery"
-0.75793,2.5349,-3.0464,-1.2629,"forgery"
0.3292,-4.4552,4.5718,-0.9888,"genuine"
1.4806,7.6377,-2.7876,-1.0341,"genuine"
1.7496,-0.1759,5.1827,1.2922,"genuine"
2.5227,2.2369,2.7236,0.79438,"genuine"
0.025013,3.3998,-4.4327,-4.2655,"forgery"
-0.33729,-0.64976,7.6659,0.72326,"genuine"
-1.7101,-8.7903,7.9735,-0.45475,"forgery"
-0.30432,2.6528,-2.7756,-0.65647,"forgery"
-6.7387,6.9879,0.67833,-7.5887,"forgery"
0.74841,7.2756,1.1504,-0.5388,"genuine"
1.5673,7.9274,-0.056842,-2.1694,"genuine"
0.58836,10.7727,-1.3884,-4.3276,"genuine"
1.8216,-6.4748,8.0514,-0.41855,"genuine"
0.15423,0.11794,-1.6823,0.59524,"forgery"
1.4896,3.4288,-4.0309,-1.4259,"forgery"
-3.7573,-8.2916,10.3032,0.38059,"forgery"
0.49571,10.2243,-1.097,-4.0159,"genuine"
1.2279,4.0309,-4.6435,-3.9125,"forgery"
-0.89542,2.0279,-2.3652,-1.2746,"forgery"
-0.91718,9.9884,1.1804,-5.2263,"genuine"
-1.6637,3.2881,-2.2701,-2.2224,"forgery"
-1.1193,10.7271,2.0938,-5.6504,"genuine"
1.8664,7.7763,-0.23849,-2.9634,"genuine"
1.3419,-4.4221,8.09,-1.7349,"genuine"
1.7939,-1.1174,1.5454,-0.26079,"genuine"
4.1542,7.2756,-2.4766,-1.2099,"genuine"
0.2952,4.8856,-5.149,-6.2323,"forgery"
-2.2183,-1.254,2.9986,0.36378,"forgery"
2.805,0.57732,1.3424,1.2133,"genuine"
-1.4094,-2.1252,-0.10397,-0.19225,"forgery"
3.7767,9.7794,-3.9075,-3.5323,"genuine"
2.549,6.1499,-1.1605,-1.2371,"genuine"
-0.8471,3.1329,-3.0112,-2.9388,"forgery"
2.0193,0.82356,4.6369,1.4202,"genuine"
-6.9599,8.9931,0.2182,-4.572,"forgery"
2.0139,6.1416,0.37929,0.56938,"genuine"
0.77765,5.9781,1.1941,-0.3526,"genuine"
-1.3885,12.5026,0.69118,-7.5487,"genuine"
-2.0631,-1.5147,1.219,0.44524,"forgery"
-3.8894,-7.8322,9.8208,0.47498,"forgery"
5.681,7.795,-2.6848,-0.92544,"genuine"
-3.8073,-8.0971,10.1772,0.65084,"forgery"
4.1454,7.257,-1.9153,-0.86078,"genuine"
2.2504,3.5757,0.35273,0.2836,"genuine"
-1.2667,2.8183,-2.426,-1.8862,"forgery"
5.1321,-0.031048,0.32616,1.1151,"genuine"
2.093,8.3061,0.022844,-3.2724,"genuine"
0.18868,0.70148,-0.51182,0.0055892,"forgery"
-1.9881,0.99945,-0.28562,-0.70044,"forgery"
0.51947,-3.2633,3.0895,-0.98492,"genuine"
0.81583,4.84,-5.2613,-6.0823,"forgery"
4.2188,6.8162,-1.2804,0.76076,"genuine"
0.96414,5.616,2.2138,-0.12501,"genuine"
-1.8448,1.254,0.27218,-1.0728,"forgery"
-2.4473,12.6247,0.73573,-7.6612,"genuine"
-3.0799,0.60836,2.7039,-0.23751,"forgery"
2.8561,6.9176,-0.79372,0.48403,"genuine"
0.58982,7.4266,1.2353,-2.9595,"genuine"
2.0962,2.4769,1.9379,-0.040962,"genuine"
-0.65767,-2.8018,3.7115,0.99739,"forgery"
3.9262,6.0299,-2.0156,-0.065531,"genuine"
-0.10234,1.8189,-2.2169,-0.56725,"forgery"
1.6032,-4.7863,8.5193,-2.1203,"genuine"
2.0843,6.6258,0.48382,-2.2134,"genuine"
5.8862,5.8747,-2.8167,-0.30087,"genuine"
3.4642,10.6878,-3.4071,-4.109,"genuine"
4.1038,-4.8069,3.3491,-0.49225,"genuine"
0.25035,9.3262,-3.6873,-6.2543,"genuine"
2.3917,4.5565,-4.9888,-2.8987,"forgery"
-4.4996,3.4288,0.56265,-1.1672,"forgery"
-2.234,-7.0314,7.4936,0.61334,"forgery"
-5.1216,-5.3118,10.3846,-1.0612,"forgery"
-2.564,-1.7051,1.5026,0.32757,"forgery"
-0.3481,-0.38696,-0.47841,0.62627,"forgery"
-2.9883,0.31245,0.45041,0.068951,"forgery"
-1.8215,2.7521,-0.72261,-2.353,"forgery"
5.7456,10.1808,-4.7857,-4.3366,"genuine"
0.6212,3.6771,-4.0771,-2.0711,"forgery"
6.0919,2.9673,-1.3267,1.4551,"genuine"
-2.0285,3.8468,-0.63435,-1.175,"forgery"
1.3087,4.9228,2.0013,0.22024,"genuine"
-2.1405,-0.16762,1.321,-0.20906,"forgery"
-2.5899,-0.3911,0.93452,0.42972,"forgery"
3.946,6.8514,-1.5443,-0.5582,"genuine"
1.2198,2.0982,-3.1954,0.12843,"forgery"
1.1811,8.3847,-2.0567,-0.90345,"genuine"
-2.9915,-6.6258,8.6521,1.8198,"forgery"
-2.8619,4.5193,-0.58123,-4.2629,"forgery"
-0.98193,2.7956,-1.2341,-1.5668,"forgery"
0.54777,10.3754,-1.5435,-4.1633,"genuine"
4.0296,2.6756,0.80685,0.71679,"genuine"
-0.7056,8.7241,2.2215,-4.5965,"genuine"
3.2032,5.7588,-0.75345,-0.61251,"genuine"
-2.1668,1.5933,0.045122,-1.678,"forgery"
-1.5732,1.0636,-0.71232,-0.8388,"forgery"
-3.1273,-7.1121,11.3897,-0.083634,"forgery"
-0.69078,-0.50077,-0.35417,0.47498,"forgery"
3.8023,-3.8696,4.044,0.95343,"genuine"
3.9529,-2.3548,2.3792,0.48274,"genuine"
-4.4018,-12.9371,15.6559,-1.6806,"forgery"
1.8993,7.6625,0.15394,-3.1108,"genuine"
2.6104,8.0081,-0.23592,-1.7608,"genuine"
0.64295,7.1018,0.3493,-0.41337,"genuine"
-0.77461,-1.8768,2.4023,1.1319,"forgery"
-3.5359,0.30417,0.6569,-0.2957,"forgery"
0.4339,5.5395,2.033,-0.40432,"genuine"
1.6406,3.5488,1.3964,-0.36424,"genuine"
-0.9607,2.6963,-3.1226,-1.3121,"forgery"
-1.8782,-6.5865,4.8486,-0.021566,"forgery"
3.7818,-2.8846,2.2558,-0.15734,"genuine"
3.2051,8.6889,-2.9033,-0.7819,"genuine"
2.1616,-6.8804,8.1517,-0.081048,"genuine"
-0.36372,3.0439,-3.4816,-2.7836,"forgery"
-1.6952,1.0657,8.8294,0.94955,"genuine"
4.6765,-3.3895,3.4896,1.4771,"genuine"
4.1605,11.2196,-3.6136,-4.0819,"genuine"
-2.6649,-12.813,12.6689,-1.9082,"forgery"
